city_or_county,n_killed,n_injured
Arjay,1,0
Arkadelphia,1,0
Arkansas City,0,2
Arkdale (Big Flats),2,0
Arlee,1,0
Arleta,1,0
Arlington,97,107
Arlington (Dalworthington Gardens),0,2
Arlington (Lakeland),1,2
Arlington (Pantego),0,0
Arlington (Sandgate),0,0
Arlington Heights,2,5
Arma,0,0
Armona,0,0
Armstrong,1,2
Armuchee,0,0
Arnaudville,2,6
Arnegard,0,0
Arnett,0,0
Arnold,4,4
Aroda,0,1
Aromas,0,0
Aroostook,0,1
Arp,0,0
Arrowbear,2,0
Arroyo Grande,0,2
Arroyo Seco,0,0
Artesia,10,14
Artesian (Forestburg),0,1
Arthur City,0,1
Arundel,0,0
Arvada,12,4
Arverne,0,2
Arverne (Queens),7,12
Arvin,8,10
Arvonia,1,0
Ary,1,0
Asbury Park,7,28
Asbury Park (Ocean Township),0,0
Asbury Park (Tinton Falls),0,1
Ascension Parish,0,0
Ash,1,1
Ash Flat,1,1
Ash Fork,0,1
Ash Grove,0,0
Ashboro,0,1
Ashburn,5,2
Ashburnham,0,0
Ashdown,2,1
Ashe County,1,1
Asheboro,6,18
Asheville,25,64
Asheville (West Ashville),0,0
Ashford,4,0
Ashland,13,12
Ashland City,1,3
Ashley,0,1
Ashtabula,7,13
Ashtabula (Plymouth Twp),0,0
Ashton,0,1
Ashuelot,0,0
Ashville,3,0
Ashville (South Bloomfield),0,0
Aspen,0,0
Assaria,1,0
Assonet,0,0
Assumption Parish,2,0
Astatula,1,0
Aston,0,2
Aston (Green Ridge),0,0
Astor,1,2
Astoria,3,2
Atalissa,0,0
Atascadero,0,1
Atascocita,0,2
Atascosa,1,0
Atchison,1,0
Athena,1,0
Athens,48,116
Athens Township,0,0
Athol,0,0
Atkins,2,0
Atkinson,0,1
Atlanta,378,684
Atlanta (Brookhaven),0,4
Atlanta (Chamblee),9,9
Atlanta (College Park),36,31
Atlanta (Cumberland),0,0
Atlanta (Doraville),2,0
Atlanta (Dunwoody),2,3
Atlanta (East Point),8,8
Atlanta (Hapeville),1,3
Atlanta (Sandy Springs),3,12
Atlantic,2,0
Atlantic Beach,1,3
Atlantic City,29,118
Atmore,7,5
Atmore (Canoe),0,1
Atoka,6,1
Attalla,0,1
Attica,1,1
Attleboro,1,2
Atwater,7,13
Atwood,0,0
Au Gres,0,0
Au Sable Forks,0,0
Aubrey,0,1
Auburn,49,50
Auburn (Algona),0,0
Auburn (Bowman),0,0
Auburn (Owasco),0,0
Auburn Hills,0,3
Auburndale,4,2
Audubon,2,1
Augusta,79,172
Augusta (Chelsea),0,0
Augusta (Fort Gordon),0,0
Augusta (Martinez),1,2
Augusta (Sidney),0,1
Aulander,2,0
Aumsville,0,0
Aurora,104,169
Aurora (Centennial),8,8
Aurora (Ledyard),2,0
Austell,15,8
Austin,132,205
Austin (Bee Cave),0,0
Austin (Brushy Creek),1,0
Austintown,0,1
Austinville,0,0
Autaugaville,2,1
Auxvasse,0,0
Ava,2,2
Avella,1,1
Avenal,6,1
Avenel,2,1
Aventura,2,1
Avilla,0,0
Avis,1,0
Avoca,1,0
Avoca (Greenwood Township),0,0
Avon,7,7
Avon Lake,0,2
Avon Park,2,10
Avondale,19,15
Avondale Estates,0,1
Awendaw,2,2
Axis,0,1
Axton,6,5
Ayden,2,15
Ayer,0,1
Aylett,2,0
Aynor,3,2
Azalea,2,0
Azle,6,2
Azle (Pelican Bay),0,1
Aztec,7,0
Azusa,9,23
Babbitt,0,0
Babson Park,0,0
Babylon,1,0
Backus,0,0
Bacliff,2,1
Baconton,1,0
Badger,1,0
Badin,1,0
Bagley,0,0
Bahama,0,0
Bailey,2,2
Baileyton,1,0
Bainbridge,7,12
Bainbridge Island,1,1
Baird,1,0
Baker,16,5
Baker City,2,3
Bakersfield,153,305
Bakersville,0,1
Bala Cynwyd,0,0
Balaton,2,0
Balch Springs,3,4
Bald Knob,2,5
Baldwin,10,6
Baldwin City,0,4
Baldwin County,1,1
Baldwin Park,8,15
Baldwin Park (Irwindale),2,0
Baldwinsville,0,1
Baldwinsville (Lysander),0,0
Baldwinsville (Van Buren),0,0
Baldwyn,2,1
Ball Ground,0,3
Ballantine,1,0
Ballard County,1,0
Ballston Spa,0,1
Ballwin,2,3
Ballwin (Manchester),0,1
Ballwin (Wildwood),5,0
Baltic,0,1
Baltic (Sprague),1,0
Baltimore,1055,2428
Baltimore (Hampden),0,1
Baltimore (Highlandtown),0,1
Baltimore (Waverly),1,2
Baltimore (baltimore),0,2
Baltimore County,1,2
Bamberg,2,6
Bamberg County,1,3
Bancroft,2,1
Bandera,0,2
Bandon,0,1
Bangor,8,4
Bangor (Hermon),0,1
Bangor (Veazie),0,0
Bangor Charter Township,0,0
Banks,0,0
Banks Township,0,1
Banner,0,0
Banning,8,13
Bannock,1,0
Baraboo,0,1
Baraboo (West Baraboo),0,1
Baraga County.,0,0
Barbeau,0,0
Barberton,5,9
Barberton (Norton),0,1
Barbour,0,0
Barboursville,4,1
Barbourville,2,2
Bardstown,6,8
Bardwell,0,2
Bargersville,0,0
Barker,0,0
Barling,3,0
Barnardsville,1,1
Barnegat,0,1
Barnegat (Barnegat Township),0,0
Barnes,0,1
Barnes County,0,0
Barneston,0,1
Barnesville,0,4
Barnesville (Somerton),1,0
Barnet,1,0
Barnhart,3,0
Barnsdall (Wolco),1,0
Barnstable,1,2
Barnstead,0,0
Barnum,0,0
Barnwell,2,4
Barnwell County,1,0
Baroda,0,1
Barrackville,0,0
Barre,0,2
Barre (Berlin),4,0
Barre (Orange),0,0
Barren,1,3
Barren County,0,1
Barrington,4,3
Barron,4,1
Barrow,9,1
Barrow County,0,0
Barry,3,0
Barry County,2,1
Barstow,3,7
Bartholomew,0,2
Bartholomew County,0,0
Bartlesville,8,7
Bartlett,0,2
Bartley,0,0
Barto,2,0
Barton,0,3
Bartonsville,0,0
Bartow,5,9
Bartow County,2,3
Basalt,0,0
Bascom,3,1
Basin,1,0
Basom,0,1
Bass Lake,0,1
Bassett,1,3
Bassfield,1,0
Bastrop,16,13
Bastrop County,1,0
Batavia,0,4
Batchelor,1,0
Bates,0,0
Batesburg,0,1
Batesburg (Batesburg-leesville),1,1
Batesville,6,10
Bath,2,3
Bath County,2,0
Baton Rogue,2,0
Baton Rouge,339,471
Baton Rouge (Central),6,0
Baton Rouge (Scotlandville),1,0
Battle Creek,20,69
Battle Creek (Springfield),0,1
Battle Ground,1,2
Battle Lake,0,1
Battle Mountain,1,0
Battleboro,1,0
Battletown,1,0
Bauxite,1,1
Baxley,2,2
Baxter,2,5
Baxter Springs,2,0
Bay,1,3
Bay City,9,12
Bay County,2,4
